,contract_id,customer_id,customer_parent_company_id,shipping_date,market,contract_type,material_id,incoterms,country,region_id,CRM_client_type,CRM_client_segment,CRM_client_industry,cost_ifso,cost_dir,cost_overhead,cost_commercial,custom_duties,parity_value,units,price_per_unit,revenue
80,32,32,-1,17.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6922153.836993201,0,292536.3742747,31.667253948185,330932.16620331,10479712.946783
81,33,33,-1,16.11.2018,domestic,spot,430604,FCA,RU,59,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,47.500880922278,324808.73046701,15428700.828429999
82,34,34,-1,30.11.2018,domestic,spot,430604,CPT,RU,60,processor,Строительство,Пр-во строительных материалов,0.0,0,0,23428826.196413,0,283717.04405014,63.33450789636999,332795.82098694,21077459.552176002
83,35,35,-1,05.11.2018,domestic,spot,430604,CPT,RU,52,processor,Строительство,Пр-во строительных материалов,0.0,0,0,11714414.669003,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
84,35,35,-1,20.11.2018,domestic,spot,430604,CPT,RU,52,processor,Строительство,Пр-во строительных материалов,0.0,0,0,12246886.349452,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
85,36,36,-1,21.11.2018,domestic,spot,430604,CPT,RU,61,trader,Торговля,Торговля,0.0,0,0,20411477.249087,0,281148.44648063,52.778756580309,335458.19578282,17705066.458091002
86,38,38,-1,28.11.2018,domestic,spot,430604,CPT,RU,37,processor,Строительство,Пр-во строительных материалов,0.0,0,0,14110541.943415,0,292536.3742747,63.33450789636999,331464.6349915,20993149.542236
87,39,39,-1,07.11.2018,domestic,spot,430604,FCA,RU,92,trader,Торговля,Торговля,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,322146.35639835,20402980.953098003
88,39,39,-1,08.11.2018,domestic,spot,430604,FCA,RU,35,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,63.33450789636999,322146.35639835,20402980.953098003
89,39,39,-1,17.11.2018,domestic,spot,430604,FCA,RU,35,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,63.33450789636999,322146.35639835,20402980.953098003
90,39,39,-1,26.11.2018,domestic,spot,430604,FCA,RU,92,trader,Торговля,Торговля,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,322146.35639835,20402980.953098003
91,39,39,-1,30.11.2018,domestic,spot,430604,FCA,RU,92,trader,Торговля,Торговля,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,322146.35639835,20402980.953098003
92,40,40,-1,24.11.2018,domestic,spot,430604,FCA,RU,02,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,63.33450789636999,320815.16884458,20318670.844462
93,41,41,-1,14.11.2018,domestic,spot,430604,CPT,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,7694241.072317401,0,295455.60500027,63.33450789636999,325074.97992496,20588463.88297
94,41,41,-1,18.11.2018,domestic,spot,430604,CPT,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,7694241.072317401,0,295455.60500027,63.33450789636999,325074.97992496,20588463.88297
95,42,42,4,12.11.2018,domestic,spot,430604,CPT,RU,66,trader,Торговля,Торговля,0.0,0,0,7694241.072317401,0,295455.60500027,63.33450789636999,327471.10505511,20740221.288946
96,42,42,4,22.11.2018,domestic,spot,430604,CPT,RU,66,trader,Торговля,Торговля,0.0,0,0,7694241.072317401,0,295455.60500027,63.33450789636999,327471.10505511,20740221.288946
97,43,43,-1,22.11.2018,domestic,spot,430604,FCA,RU,55,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,284369.49001243,63.33450789636999,320815.16884458,20318670.844462
98,44,44,-1,28.11.2018,domestic,spot,430604,FCA,RU,39,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,283717.04405014,63.33450789636999,319484.01401573,20234362.808444
99,45,45,-1,06.11.2018,domestic,spot,430604,CPT,RU,64,trader,Торговля,Торговля,0.0,0,0,8519572.0199346,0,293917.00999818,31.667253948185,330133.47860432,10454420.703761
100,45,45,-1,07.11.2018,domestic,spot,430604,CPT,RU,37,trader,Торговля,Торговля,0.0,0,0,14110541.943415,0,292536.3742747,63.33450789636999,330133.47860432,20908841.407521
101,45,45,-1,07.11.2018,domestic,spot,430604,CPT,RU,50,trader,Торговля,Торговля,0.0,0,0,3527637.8420482003,0,292536.3742747,15.833626974093,330133.47860432,5227210.3518804
102,45,45,-1,11.11.2018,domestic,spot,430604,CPT,RU,50,trader,Торговля,Торговля,0.0,0,0,10383227.613897,0,292536.3742747,47.500880922278,330133.47860432,15681631.055641001
103,45,45,-1,24.11.2018,domestic,spot,430604,CPT,RU,50,trader,Торговля,Торговля,0.0,0,0,13844307.673986,0,292536.3742747,63.33450789636999,330133.47860432,20908841.407521
104,45,45,-1,26.11.2018,domestic,spot,430604,CPT,RU,50,trader,Торговля,Торговля,0.0,0,0,6789035.1314827,0,292536.3742747,31.667253948185,330133.47860432,10454420.703761
105,45,45,-1,27.11.2018,domestic,spot,430604,CPT,RU,58,trader,Торговля,Торговля,0.0,0,0,13844307.673986,0,293917.00999818,63.33450789636999,330133.47860432,20908841.407521
106,46,46,-1,04.11.2018,domestic,spot,430604,FCA,RU,02,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,21.111502632123,322146.35795668,6800993.683931501
107,46,46,-1,29.11.2018,domestic,spot,430604,FCA,RU,02,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,26.389378290154,322146.35702168,8501242.0802403
108,48,48,-1,28.11.2018,domestic,spot,430604,CPT,RU,74,processor,Товары народного потребления,Товары народного потребления,0.0,0,0,9052046.8419769,0,295455.60500027,63.33450789636999,328802.29105055,20824531.298885997
109,49,49,-1,01.11.2018,domestic,spot,430604,FCA,RU,72,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
110,49,49,-1,14.11.2018,domestic,spot,430604,FCA,RU,72,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
111,49,49,-1,16.11.2018,domestic,spot,430604,FCA,RU,72,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
112,50,50,-1,03.11.2018,domestic,spot,430604,CPT,RU,54,processor,Строительство,Пр-во строительных материалов,0.0,0,0,15308610.29301,0,284369.49001243,31.667253948185,342114.12918835,10833815.00827
113,50,50,-1,13.11.2018,domestic,spot,430604,CPT,RU,54,processor,Строительство,Пр-во строительных материалов,0.0,0,0,22962915.439515,0,284369.49001243,47.500880922278,342114.13126612,16250722.6111
114,50,50,-1,23.11.2018,domestic,spot,430604,CPT,RU,54,processor,Строительство,Пр-во строительных материалов,0.0,0,0,22962912.297922,0,284369.49001243,47.500880922278,342114.13126612,16250722.6111
115,50,50,-1,03.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6922153.836993201,0,292536.3742747,31.667253948185,330133.47860432,10454420.703761
116,50,50,-1,26.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6922153.836993201,0,292536.3742747,31.667253948185,330133.47860432,10454420.703761
117,1,1,-1,02.11.2018,domestic,spot,430605,FCA,RU,74,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
118,1,1,-1,08.11.2018,domestic,spot,430605,FCA,RU,74,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
119,1,1,-1,28.11.2018,domestic,spot,430605,FCA,RU,74,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,320815.16884458,20318670.844462
120,3,3,-1,01.11.2018,domestic,spot,430605,FCA,RU,61,trader,Торговля,Торговля,0.0,0,0,0.0,0,281148.44648063,15.833626974093,322146.35328169,5100745.1889266
121,3,3,-1,05.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,31.667253948185,322146.35639835,10201490.476549001
122,3,3,-1,06.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,31.667253948185,322146.35639835,10201490.476549001
123,3,3,-1,07.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,42.223005264247,322146.35561919,13601987.269167
124,3,3,-1,09.11.2018,domestic,spot,430605,FCA,RU,61,trader,Торговля,Торговля,0.0,0,0,0.0,0,281148.44648063,26.389378290154,322146.35702168,8501242.0802403
125,3,3,-1,18.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,21.111502632123,322146.35795668,6800993.683931501
126,3,3,-1,21.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,42.223005264247,322146.35561919,13601987.269167
127,3,3,-1,23.11.2018,domestic,spot,430605,FCA,RU,21,trader,Торговля,Торговля,0.0,0,0,0.0,0,293917.00999818,21.111502632123,322146.35795668,6800993.683931501
128,3,3,-1,23.11.2018,domestic,spot,430605,FCA,RU,78,trader,Торговля,Торговля,0.0,0,0,0.0,0,283717.04405014,21.111502632123,322146.35795668,6800993.683931501
129,4,4,-1,01.11.2018,domestic,spot,430605,FCA,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,322146.35639835,20402980.953098003
130,5,5,-1,17.11.2018,domestic,longterm,430605,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13844307.673986,0,292536.3742747,63.33450789636999,322572.35698551,20429961.49065
