office_id, city, latitude, longitude, work_day_hours, holiday_hours, opt_0, opt_1, opt_2, opt_3, opt_4, opt_5, opt_6, opt_7, opt_8, opt_9, opt_10, opt_11, opt_12, opt_13, opt_14, opt_15, opt_16
102, г.Санкт-Петербург, 59.87242, 30.32103, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0
103, г.Санкт-Петербург, 59.929826, 30.411916, 11:00-20:00, 11:00-17:00, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
104, г.Санкт-Петербург, 59.850495, 30.267309, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0
105, г.Санкт-Петербург, 59.926314, 30.375876, 11:00-20:00, 11:00-17:00, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
106, г.Санкт-Петербург, 59.930246, 30.353966, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0
107, г.Санкт-Петербург, 59.944229, 30.358107, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0
108, г.Санкт-Петербург, 59.925367, 30.321941, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
109, г.Санкт-Петербург, 59.85768, 30.200111, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
110, г.Санкт-Петербург, 59.938167, 30.321191, 09:00-18:00, not working, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
111, г.Санкт-Петербург, 59.937762, 30.320416, 10:00-19:00, not working, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0
112, г.Санкт-Петербург, 59.959791, 30.31797, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0
113, г.Санкт-Петербург, 60.012047, 30.394948, 11:00-20:00, 11:00-17:00, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0
114, г.Санкт-Петербург, 59.945788, 30.270863, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0
115, г.Санкт-Петербург, 60.000425, 30.299878, 11:00-20:00, 11:00-17:00, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
116, г.Санкт-Петербург, 59.987303, 30.219272, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
117, г.Санкт-Петербург, 60.010134, 30.258248, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0
118, г.Санкт-Петербург, 60.053112, 30.33626, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
119, г.Петрозаводск, 61.788186, 34.355906, 09:00-19:00, not working, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0
120, г.Саратов, 51.54853, 46.005861, 09:00-19:00, 10:00-15:00, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
121, г.Казань, 55.826391, 49.118381, 10:00-19:00, not working, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
122, г.Казань, 55.795313, 49.172466, 10:00-19:00, 10:00-15:00, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
123, г.Казань, 55.746253, 49.216664, 10:00-19:00, not working, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
124, г.Киров, 58.599479, 49.656713, 10:00-19:00, 10:00-15:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
125, г.Самара, 53.199918, 50.104254, 10:00-19:00, 10:00-15:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
126, г.Самара, 53.24972, 50.225311, 10:00-19:00, 10:00-15:00, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
127, г.Самара, 53.200722, 50.203149, 10:00-19:00, 10:00-15:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
128, г.Волгоград, 48.719064, 44.531124, 10:00-19:00, 10:00-14:00, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
